Stellar Spectroscopy and Classification - Mystery Star 2	
6420.4	10482.077148
6421.2	10475.083984
6422	10580.074219
6422.8	10903.347656
6423.6	10998.318359
6424.4	11057.396484
6425.2	11155.067383
6426	10999.990234
6426.8	11017.353516
6427.6	10991.416992
6428.4	11043.353516
6429.2	11129.070312
6430	11107.089844
6430.8	10805.038086
6431.6	10571.604492
6432.4	10699.8125
6433.2	10736.540039
6434	10997.523438
6434.8	11097.894531
6435.6	11311.236328
6436.4	11060.691406
6437.2	11096.116211
6438	10977.741211
6438.8	10599.712891
6439.6	10417.214844
6440.4	10691.880859
6441.2	11241.283203
6442	11139.431641
6442.8	11155.241211
6443.6	11118.3125
6444.4	11244.613281
6445.2	11519.414062
6446	11351.245117
6446.8	11279.469727
6447.6	11339.427734
6448.4	11270.703125
6449.2	10994.132812
6450	10563.644531
6450.8	10639.458984
6451.6	11278.543945
6452.4	11280.598633
6453.2	11215.774414
6454	11424.482422
6454.8	11164.15918
6455.6	10762.682617
6456.4	10558.307617
6457.2	10502.459961
6458	10932.768555
6458.8	11245.220703
6459.6	11276.231445
6460.4	11239.103516
6461.2	11117.013672
6462	10709.489258
6462.8	10328.180664
6463.6	10383.761719
6464.4	11086.46875
6465.2	11413.02832
6466	11325.34082
6466.8	11101.948242
6467.6	10973.441406
6468.4	11009.277344
6469.2	10731.682617
6470	10991.114258
6470.8	10885.666016
6471.6	10755.509766
6472.4	10599.894531
6473.2	10833.327148
6474	11003.9375
6474.8	10991.686523
6475.6	10756.081055
6476.4	10823.112305
6477.2	10996.792969
6478	11165.128906
6478.8	11308.875
6479.6	11118.605469
6480.4	11073.408203
6481.2	11134.904297
6482	11098.925781
6482.8	10858.950195
6483.6	10709.887695
6484.4	10662.710938
6485.2	11255.577148
6486	11232.091797
6486.8	11307.241211
6487.6	11228.973633
6488.4	11359.941406
6489.2	11192.163086
6490	11040.893555
6490.8	10836.753906
6491.6	10755.969727
6492.4	10847.226562
6493.2	10621.036133
6494	9963.432617
6494.8	9929.488281
6495.6	10018.961914
6496.4	10164.847656
6497.2	10248.833984
6498	10919.216797
6498.8	11058.544922
6499.6	11026.785156
6500.4	11119.358398
6501.2	11195.845703
6502	11279.74707
6502.8	11264.927734
6503.6	11285.828125
6504.4	11177.966797
6505.2	11303.402344
6506	11341.130859
6506.8	11411.245117
6507.6	11566.413086
6508.4	11460.806641
6509.2	11344.958984
6510	11327.515625
6510.8	11686.87793
6511.6	11490.331055
6512.4	11497.625977
6513.2	11464.633789
6514	11420.599609
6514.8	11027.837891
6515.6	10882.962891
6516.4	10466.641602
6517.2	10590.40332
6518	10706.875977
6518.8	10789.530273
6519.6	11025.451172
6520.4	11131.833008
6521.2	11487.858398
6522	11492.301758
6522.8	11206.780273
6523.6	11271.697266
6524.4	11165.307617
6525.2	11305.267578
6526	11299.423828
6526.8	11079.332031
6527.6	11070.795898
6528.4	11190.588867
6529.2	11225.530273
6530	11434.676758
6530.8	11363.360352
6531.6	11296.144531
6532.4	11228.200195
6533.2	11103.765625
6534	11080.081055
6534.8	11035.222656
6535.6	11323.143555
6536.4	11378.31543
6537.2	11152.783203
6538	11291.287109
6538.8	11249.575195
6539.6	11278.358398
6540.4	11143.882812
6541.2	11247.024414
6542	11080.500977
6542.8	10957.458008
6543.6	10885.719727
6544.4	10839.455078
6545.2	10989.801758
6546	10511.647461
6546.8	10489.887695
6547.6	10902.110352
6548.4	10689.616211
6549.2	10807.499023
6550	10894.354492
6550.8	10873.540039
6551.6	10905.647461
6552.4	10851.244141
6553.2	10541.869141
6554	10673.078125
6554.8	10508.844727
6555.6	10224.177734
6556.4	10310.517578
6557.2	10263.865234
6558	10189.901367
6558.8	9802.62793
6559.6	9536.448242
6560.4	8992.311523
6561.2	8494.236328
6562	6879.79834
6562.8	5213.112793
6563.6	5471.066895
6564.4	7581.768555
6565.2	8859.678711
6566	9450.380859
6566.8	9787.806641
6567.6	10238.620117
6568.4	10156.389648
6569.2	10150.03125
6570	10201.28125
6570.8	10436.885742
6571.6	10541.516602
6572.4	10576.959961
6573.2	10612.719727
6574	10649.111328
6574.8	10629.477539
6575.6	10669.243164
6576.4	10994.907227
6577.2	11168.485352
6578	11347.975586
6578.8	11396.589844
6579.6	11591.310547
6580.4	11473.388672
6581.2	11297.40918
6582	11256.008789
6582.8	11364.279297
6583.6	11349.100586
6584.4	11182.102539
6585.2	11092.220703
6586	11003.935547
6586.8	10975.472656
6587.6	11090.308594
6588.4	11345.170898
6589.2	11527.612305
6590	11678.545898
6590.8	11721.683594
6591.6	11635.94043
6592.4	11264.270508
6593.2	10650.6875
6594	10833.019531
6594.8	11069.832031
6595.6	11369.742188
6596.4	11394.348633
6597.2	11349.009766
6598	11291.150391
6598.8	11317.771484
6599.6	11468.484375
6600.4	11776.526367
6601.2	11638.410156
6602	11703.473633
6602.8	11925.149414
6603.6	11801.267578
6604.4	11824.295898
6605.2	11624.892578
6606	11752.383789
6606.8	11659.667969
6607.6	11369.658203
6608.4	11387.460938
6609.2	11215.729492
6610	11276.445312
6610.8	11695.099609
6611.6	11788.697266
6612.4	11747.94043
6613.2	11777.271484
6614	11774.618164
6614.8	11981.049805
6615.6	11953.865234
6616.4	11998.504883
6617.2	11811.204102
6618	11715.464844
6618.8	11627.470703
6619.6	11778.37793
6620.4	11660.915039
6621.2	11502.804688
6622	11493.851562
6622.8	11722.998047
6623.6	11619.294922
6624.4	11668.15625
6625.2	11678.407227
6626	11767.898438
6626.8	11929.830078
6627.6	11943.516602
6628.4	11763.125977
6629.2	11922.837891
6630	11973.232422
6630.8	11851.494141
6631.6	11971.43457
6632.4	11581.794922
6633.2	11268.048828
6634	11008.015625
6634.8	11116.835938
6635.6	11402.124023
6636.4	11353.825195
6637.2	11601.953125
6638	11700.480469
6638.8	11537.323242
6639.6	11507.485352
6640.4	11696.022461
6641.2	11639.024414
6642	11740.740234
6642.8	11726.262695
6643.6	10980.369141
6644.4	11307.257812
6645.2	11724.798828
6646	11788.777344
6646.8	11644.289062
6647.6	11562.18457
6648.4	11727.78418
6649.2	11701.891602
6650	11755.491211
6650.8	11771.171875
6651.6	11781.873047
6652.4	11797.314453
6653.2	11560.40332
6654	11765.367188
6654.8	11768.556641
6655.6	11619.847656
6656.4	11706.936523
6657.2	11675.258789
6658	11720.893555
6658.8	11634.285156
6659.6	11664.563477
6660.4	11600.978516
6661.2	11494.646484
6662	11354.166016
6662.8	11252.326172
6663.6	11045.661133
6664.4	11187.858398
6665.2	11480.826172
6666	11534.536133
6666.8	11515.80957
6667.6	11686.341797
6668.4	11577.517578
6669.2	11661.710938
6670	11844.176758
6670.8	11962.254883
6671.6	11934.801758
6672.4	11983.713867
6673.2	11941.578125
6674	12019.459961
6674.8	12068.378906
6675.6	12138.253906
6676.4	11984.297852
6677.2	11757.420898
6678	11292.3125
6678.8	11705.213867
6679.6	12233.181641
6680.4	11895.396484
6681.2	12042.022461
6682	12017.711914
6682.8	11987.188477
6683.6	11980.289062
6684.4	11853.900391
6685.2	11700.4375
6686	11641.661133
6686.8	11662.435547
6687.6	11659.783203
6688.4	11636.793945
6689.2	11741.918945
6690	11568.762695
6690.8	11699.011719
6691.6	11771.074219
6692.4	11704.0625
6693.2	11798.411133
6694	11725.980469
6694.8	11790.292969
6695.6	11745.332031
6696.4	11603.663086
6697.2	11638.792969
6698	11835.880859
6698.8	11621.399414
6699.6	11740.850586
6700.4	11946.061523
6701.2	11746.623047
6702	11776.195312
6702.8	11879.054688
6703.6	11513.054688
6704.4	11484.063477
6705.2	11521.351562
6706	11475.193359
6706.8	11737.27832
6707.6	11567.841797
6708.4	11494.245117
6709.2	11734.657227
6710	11677.079102
6710.8	11645.904297
6711.6	11791.235352
6712.4	11861.125
6713.2	11592.679688
6714	11746.237305
6714.8	11791.351562
6715.6	11664.958008
6716.4	11743.645508
6717.2	11510.886719
6718	11095.961914
6718.8	11692.098633
6719.6	12011.686523
6720.4	11946.907227
6721.2	11869.817383
6722	11591.316406
6722.8	11660.592773
6723.6	11940.225586
6724.4	11931.274414
6725.2	12012.044922
6726	11797.430664
6726.8	11720.884766
6727.6	11872.201172
6728.4	11950.519531
6729.2	11839.157227
6730	11973.770508
6730.8	11915.239258
6731.6	11788.354492
6732.4	11815.774414
6733.2	11707.756836
6734	11695.917969
6734.8	11755.519531
6735.6	11769.078125
6736.4	11917.236328
6737.2	11700.161133
6738	11788.769531
6738.8	11636.18457
6739.6	11526.904297
6740.4	11760.761719
6741.2	11558.986328
6742	11601.772461
6742.8	11580.972656
6743.6	11571.902344
6744.4	11648.74707
6745.2	11700.636719
6746	11596.263672
6746.8	11783.442383
6747.6	11781.082031
6748.4	11695.911133
6749.2	11483.200195
6750	11493.291992
6750.8	11577.956055
6751.6	11884.532227
6752.4	11835.670898
6753.2	11876.696289
6754	11866.586914
6754.8	11996.254883
6755.6	11693.930664
6756.4	11586.514648
6757.2	11469.37207
6758	11538.894531
6758.8	11658.47168
6759.6	11498.948242
6760.4	11539.213867
6761.2	11723.954102
6762	11818.916016
6762.8	11706.441406
6763.6	11888.712891
6764.4	11667.267578
6765.2	11765.148438
6766	11771.145508
6766.8	11786.366211
6767.6	11472.358398
6768.4	11645.514648
6769.2	11974.535156
6770	12139.557617
6770.8	12128.4375
6771.6	12085.370117
6772.4	11712.139648
6773.2	11993.121094
6774	11976.661133
6774.8	12059.417969
6775.6	12170.34082
6776.4	12094.060547
6777.2	12077.686523
6778	12017.948242
6778.8	12037.151367
6779.6	11892.506836
6780.4	11854.170898
6781.2	12005.790039
6782	11876.256836
6782.8	11944.161133
6783.6	11855.935547
6784.4	11771.759766
6785.2	11804.37793
6786	11702.999023
6786.8	11374.932617
6787.6	11564.363281
6788.4	11757.418945
6789.2	11995.001953
6790	11894.083008
6790.8	11839.176758
6791.6	11935.817383
6792.4	11861.347656
6793.2	11844.402344
6794	11983.438477
6794.8	12069.472656
6795.6	11867.015625
6796.4	11782.924805
6797.2	11961.881836
6798	12005.783203
6798.8	11751.646484
6799.6	11711.285156
6800.4	11691.921875
6801.2	11454.951172
6802	11540.077148
6802.8	11499.391602
6803.6	11510.804688
6804.4	11395.982422
6805.2	11382.379883
6806	11657.75293
6806.8	11342.189453
6807.6	11472.712891
6808.4	11528.219727
6809.2	11611.744141
6810	11570.375977
6810.8	11299.936523
6811.6	11631.578125
6812.4	11619.270508
6813.2	11513.859375
6814	11561.321289
6814.8	11745.609375
6815.6	11704.44043
6816.4	11860.362305
6817.2	11740.46875
6818	11885.787109
6818.8	11808.12207
6819.6	11894.556641
6820.4	11854.445312
6821.2	11822.709961
6822	11719.345703
6822.8	11799.28418
6823.6	11717.527344
6824.4	11817.705078
6825.2	11864.637695
6826	11904.834961
6826.8	11854.917969
6827.6	11541.993164
6828.4	11414.860352
6829.2	11745.888672
6830	11916.260742
6830.8	11757.43457
6831.6	11813.806641
6832.4	11961.549805
6833.2	11736.990234
6834	11672.303711
6834.8	11762.583008
6835.6	11745.925781
6836.4	11644.46875
6837.2	11615.540039
6838	11527.118164
6838.8	11296.022461
6839.6	11177.363281
6840.4	11306.220703
6841.2	11141.948242
6842	11055.927734
6842.8	10902.692383
6843.6	11029.889648
6844.4	10979.320312
6845.2	11353.138672
6846	11456.550781
6846.8	11359.766602
6847.6	11348.90625
6848.4	11051.804688
6849.2	11147.264648
6850	11275.829102
6850.8	11253.668945
6851.6	11262.412109
6852.4	11122.179688
6853.2	11111.40332
6854	10983.549805
6854.8	10783.790039
6855.6	10719.573242
6856.4	10940.824219
6857.2	10986.788086
6858	11004.214844
6858.8	10860.81543
6859.6	11014.052734
6860.4	10955.182617
6861.2	10950.549805
6862	10739.754883
6862.8	10841.75293
6863.6	11083.618164
6864.4	11251.959961
6865.2	11201.935547
6866	10994.651367
6866.8	10480.277344
6867.6	8779.798828
6868.4	7319.299316
6869.2	7220.454102
6870	7833.243652
6870.8	8139.443359
6871.6	8126.378906
6872.4	8361.469727
6873.2	8387.304688
6874	8605.236328
6874.8	8789.69043
6875.6	8942.845703
6876.4	9051.294922
6877.2	9224.658203
6878	9627.661133
6878.8	9769.852539
6879.6	9853.232422
6880.4	10138.104492
6881.2	10495.116211
6882	10736.104492
6882.8	10666.300781
6883.6	10360.603516
6884.4	10160.242188
6885.2	10235.427734
6886	9521.347656
6886.8	9412.774414
6887.6	10065.696289
6888.4	10361.96875
6889.2	9867.820312
6890	9667.917969
6890.8	10403.686523
6891.6	11107.902344
6892.4	10138.323242
6893.2	9690.181641
6894	10297.303711
6894.8	10890.525391
6895.6	10532.061523
6896.4	9643.864258
6897.2	9720.553711
6898	10515.375977
6898.8	11217.525391
6899.6	10645.78418
6900.4	9731.008789
6901.2	9895.137695
6902	10711.614258
6902.8	11079.269531
6903.6	10806.433594
6904.4	9739.858398
6905.2	9524.651367
6906	10138.025391
6906.8	10821.391602
6907.6	11225.617188
6908.4	10542.129883
6909.2	10180.292969
6910	10587.838867
6910.8	11343.477539
6911.6	11541.642578
6912.4	11664.183594
6913.2	11065.289062
6914	10099.542969
6914.8	10342.494141
6915.6	11159.576172
6916.4	11165.619141
6917.2	10606.754883
6918	10378.384766
6918.8	10073.654297
6919.6	10289.023438
6920.4	10732.547852
6921.2	10885.609375
6922	10775.102539
6922.8	10466.27832
6923.6	10036.265625
6924.4	9911.699219
6925.2	10304.220703
6926	10845.025391
6926.8	10731.000977
6927.6	10895.035156
6928.4	11150.827148
6929.2	10500.582031
6930	10206.259766
6930.8	10756.410156
6931.6	10867.004883
6932.4	10922.380859
6933.2	10766.614258
6934	10558.371094
6934.8	11003.400391
6935.6	11174.173828
6936.4	11430.959961
6937.2	11384.424805
6938	11072.723633
6938.8	10909.925781
6939.6	10825.389648
6940.4	10214.223633
6941.2	10540.103516
6942	10715.140625
6942.8	10675.193359
6943.6	10815.249023
6944.4	10810.824219
6945.2	10855.450195
6946	11015.463867
6946.8	11117.699219
6947.6	10442.405273
6948.4	10344.022461
6949.2	10716.635742
6950	11325.749023
6950.8	11030.375
6951.6	10680.136719
6952.4	11097.753906
6953.2	10927.913086
6954	10716.496094
6954.8	10983.09082
6955.6	10812.602539
6956.4	10099.84668
6957.2	10140.241211
6958	10768.825195
6958.8	10982.249023
6959.6	10527.126953
6960.4	10517.84668
6961.2	10407.276367
6962	10606.729492
6962.8	10974.84668
6963.6	11127.232422
6964.4	10859.609375
6965.2	10662.31543
6966	10889.78125
6966.8	11178.423828
6967.6	10963.150391
6968.4	10799.008789
6969.2	10943.913086
6970	10754.189453
6970.8	10447.175781
6971.6	10345.571289
6972.4	10613.197266
6973.2	10729.753906
6974	10677.154297
6974.8	10695.370117
6975.6	10370.201172
6976.4	10178.920898
6977.2	10206.960938
6978	10172.350586
6978.8	9928.00293
6979.6	10257.427734
6980.4	10627.648438
6981.2	10638.081055
6982	10670.408203
6982.8	10793.65332
6983.6	10823.887695
6984.4	10810.200195
6985.2	10470.572266
6986	10385.666016
6986.8	10226.838867
6987.6	10214.842773
6988.4	10129.479492
6989.2	9985.679688
6990	10088.759766
6990.8	10297.973633
6991.6	10521.742188
6992.4	10467.282227
6993.2	10164.62207
6994	9974.462891
6994.8	10123.575195
6995.6	10570.612305
6996.4	10876.827148
6997.2	10892.357422
6998	10548.048828
6998.8	10081.136719
6999.6	10098.063477
7000.4	10618.288086
7001.2	10996.382812
7002	11001.777344
7002.8	10787.65918
7003.6	10715.359375
7004.4	10311.521484
7005.2	9924.798828
7006	10037.228516
7006.8	10342.767578
7007.6	10614.727539
7008.4	10666.171875
7009.2	10594.513672
7010	10415.083008
7010.8	10122.792969
7011.6	10150.216797
7012.4	9876.982422
7013.2	10259.638672
7014	10446.248047
7014.8	10441.473633
7015.6	10012.868164
7016.4	9342.235352
7017.2	9645.978516
7018	10328.990234
7018.8	10886.240234
7019.6	10892.793945
7020.4	10884.516602
7021.2	11165.828125
7022	10997.580078
7022.8	10512.762695
7023.6	10194.835938
7024.4	10353.80957
7025.2	10578.422852
7026	10708.724609
7026.8	10419.830078
7027.6	9905.742188
7028.4	10153.03418
7029.2	10518.780273
7030	10617.722656
7030.8	10557.319336
7031.6	10730.492188
7032.4	10595.441406
7033.2	10854.925781
7034	10750.460938
7034.8	10321.532227
7035.6	10510.167969
7036.4	10930.733398
7037.2	10576.335938
7038	10124.935547
7038.8	10306.288086
7039.6	10182.636719
7040.4	10187.446289
7041.2	10691.677734
7042	10708.87207
7042.8	10759.954102
7043.6	10859.227539
7044.4	10846.777344
7045.2	10784.960938
7046	11006.679688
7046.8	10998.415039
7047.6	10782.711914
7048.4	10963.107422
7049.2	10978.986328
7050	11111.601562
7050.8	10797.629883
7051.6	10661.293945
7052.4	10483.638672
7053.2	10510.774414
7054	10745.365234
7054.8	10800.175781
7055.6	10841.087891
7056.4	10760.521484
7057.2	10605.55957
7058	10716.857422
7058.8	10747.708008
7059.6	10834.948242
7060.4	10618.805664
7061.2	10690.073242
7062	10463.157227
7062.8	10389.570312
7063.6	10245.004883
7064.4	10291.064453
7065.2	10263.106445
7066	10091.416016
7066.8	10127.205078
7067.6	10085.607422
7068.4	9854.946289
7069.2	10064.182617
7070	10303.128906
7070.8	10275.966797
7071.6	10179.725586
7072.4	10102.509766
7073.2	10099.888672
7074	10231.036133
7074.8	10411.418945
7075.6	10257.219727
7076.4	10202.360352
7077.2	10277.455078
7078	10085.302734
7078.8	10133.80957
7079.6	10399.208008
7080.4	10454.745117
7081.2	10437.380859
7082	10645.838867
7082.8	10555.591797
7083.6	10344.269531
7084.4	10335.041016
7085.2	10368.296875
7086	10529.621094
7086.8	10601.479492
7087.6	10442.229492
7088.4	10353.994141
7089.2	10330.657227
7090	10387.016602
7090.8	10327.964844
7091.6	10493.194336
7092.4	10644.251953
7093.2	10357.394531
7094	10613.365234
7094.8	10584.81543
7095.6	10558.196289
7096.4	10627.239258
7097.2	10545.123047
7098	10479.780273
7098.8	10634.239258
7099.6	10827.801758
7100.4	10636.697266
7101.2	10730.270508
7102	10539.327148
7102.8	10564.232422
7103.6	10600.112305
7104.4	10557.599609
7105.2	10501.832031
7106	10393.855469
7106.8	10196.347656
7107.6	10136.332031
7108.4	10203.296875
7109.2	10004.382812
7110	9838.628906
7110.8	10043.306641
7111.6	9839.678711
7112.4	9775.323242
7113.2	9822.119141
7114	9961.200195
7114.8	9950.65332
7115.6	9986.017578
7116.4	10190.025391
7117.2	10128.415039
7118	10223.853516
7118.8	10103.463867
7119.6	10189.65332
7120.4	10282.249023
7121.2	10248.334961
7122	9950.269531
7122.8	9994.244141
7123.6	10209.378906
7124.4	10524.789062
7125.2	10457.863281
7126	10652.063477
7126.8	10612.462891
7127.6	10627.302734
7128.4	10404.928711
7129.2	10629.734375
7130	10694.697266
7130.8	10308.501953
7131.6	10417.978516
7132.4	10517.772461
7133.2	10484.881836
7134	10298.251953
7134.8	10251.875977
7135.6	10152.912109
7136.4	10028.163086
7137.2	9741.710938
7138	9732.856445
7138.8	9793.351562
7139.6	9800.211914
7140.4	9793.018555
7141.2	10022.415039
7142	10075.963867
7142.8	10214.976562
7143.6	10219.774414
7144.4	10597.760742
7145.2	10479.888672
7146	10336.551758
7146.8	10560.739258
7147.6	9930.676758
7148.4	9491.802734
7149.2	10166.251953
7150	10363.841797
7150.8	10245.290039
7151.6	10002.527344
7152.4	10225.444336
7153.2	10020.313477
7154	10135.329102
7154.8	9995.166992
7155.6	9939.981445
7156.4	9742.870117
7157.2	9781.557617
7158	10062.814453
7158.8	9825.831055
7159.6	9848.447266
7160.4	9872.741211
7161.2	9841.011719
7162	9603.425781
7162.8	9598.94043
7163.6	9306.925781
7164.4	8644.389648
7165.2	8318.083984
7166	8582.506836
7166.8	8760.267578
7167.6	8135.805664
7168.4	8043.158203
7169.2	8625.303711
7170	8473.494141
7170.8	7792.10791
7171.6	8172.752441
7172.4	8023.84082
7173.2	7116.166016
7174	6801.9375
7174.8	7687.568848
7175.6	8199.894531
7176.4	7500.25
7177.2	6664.82666
7178	6485.599121
7178.8	7373.858398
7179.6	8191.563477
7180.4	8336.526367
7181.2	7607.067871
7182	6716.104492
7182.8	7410.723145
7183.6	8058.723145
7184.4	7051.03418
7185.2	6202.579102
7186	6509.980469
7186.8	5593.30127
7187.6	5262.531738
7188.4	6771.384766
7189.2	8077.803711
7190	8166.70752
7190.8	8002.292969
7191.6	6739.193359
7192.4	6136.099121
7193.2	6685.214844
7194	6388.794922
7194.8	6744.532715
7195.6	7322.591309
7196.4	7556.768066
7197.2	7462.929199
7198	6890.033203
7198.8	7087.726562
7199.6	7599.811523
7200.4	6903.916016
7201.2	5722.620117
7202	6072.556152
7202.8	7219.351562
7203.6	7628.211426
7204.4	6734.765137
7205.2	6801.476562
7206	7051.177246
7206.8	6289.512207
7207.6	6544.790527
7208.4	7348.869141
7209.2	7407.837891
7210	7056.158691
7210.8	7163.067871
7211.6	7365.633301
7212.4	7328.88623
7213.2	7455.932617
7214	7401.723145
7214.8	7322.924316
7215.6	7238.983398
7216.4	6882.812988
7217.2	6988.039551
7218	7020.290527
7218.8	6978.948242
7219.6	7291.645996
7220.4	7397.886719
7221.2	7352.029297
7222	7483.524902
7222.8	7240.987305
7223.6	6730.603027
7224.4	6722.324219
7225.2	7326.858887
7226	7650.376465
7226.8	7517.050781
7227.6	7005.859375
7228.4	6986.983887
7229.2	7382.685547
7230	7539.068848
7230.8	7352.995117
7231.6	7153.216797
7232.4	6402.800781
7233.2	5660.069336
7234	5836.472656
7234.8	5393.157715
7235.6	5136.524902
7236.4	5714.310547
7237.2	6365.234375
7238	6802.805176
7238.8	6869.425293
7239.6	6623.273926
7240.4	5691.96875
7241.2	5190.924805
7242	6089.394531
7242.8	6633.15918
7243.6	5984.368164
7244.4	5636.325684
7245.2	6246.694824
7246	6432.256836
7246.8	6513.619629
7247.6	6640.367188
