Stellar Spectroscopy and Classification - Mystery Star 1			
Note that the main hydrogen line at 6563 angstroms is showing both absorption and emission. hence it looks a bit strange. Expect questions from your class.			
Date of Observation:	31-07-2010		
6425.2	11374.550781		
6426	11351.983398		
6426.8	11302.789062		
6427.6	11325.933594		
6428.4	11351.691406		
6429.2	11338.717773		
6430	11288.639648		
6430.8	11416.373047		
6431.6	11525.527344		
6432.4	11427.953125		
6433.2	11455.579102		
6434	11334.957031		
6434.8	11447.576172		
6435.6	11544.395508		
6436.4	11530.921875		
6437.2	11251.345703		
6438	11236.879883		
6438.8	11184.773438		
6439.6	11063.587891		
6440.4	11080.113281		
6441.2	11230.881836		
6442	11335.858398		
6442.8	11144.329102		
6443.6	11127.394531		
6444.4	11287.901367		
6445.2	11233.910156		
6446	11064.62207		
6446.8	11084.008789		
6447.6	11219.929688		
6448.4	11123.321289		
6449.2	11157.520508		
6450	11130.436523		
6450.8	11229.141602		
6451.6	11147.436523		
6452.4	11170.370117		
6453.2	11164.036133		
6454	11146.02832		
6454.8	11222.387695		
6455.6	10969.594727		
6456.4	11243.003906		
6457.2	11204.235352		
6458	11175.712891		
6458.8	11206.032227		
6459.6	11174.209961		
6460.4	11239.568359		
6461.2	11358.836914		
6462	11324.458984		
6462.8	11339.353516		
6463.6	11175.016602		
6464.4	11080.041992		
6465.2	11203.472656		
6466	11065.588867		
6466.8	11089.086914		
6467.6	11081.287109		
6468.4	11242.954102		
6469.2	11099.402344		
6470	11142.336914		
6470.8	11110.646484		
6471.6	11268.394531		
6472.4	11399.040039		
6473.2	11160.196289		
6474	11191.583984		
6474.8	11242.988281		
6475.6	11007.885742		
6476.4	10756.599609		
6477.2	10887.578125		
6478	10997.594727		
6478.8	11065.862305		
6479.6	10958.920898		
6480.4	10655.817383		
6481.2	10996.704102		
6482	11092.011719		
6482.8	11022.939453		
6483.6	10794.728516		
6484.4	10904.442383		
6485.2	11025.399414		
6486	11022.152344		
6486.8	11034.959961		
6487.6	11070.083984		
6488.4	11135.447266		
6489.2	11179.042969		
6490	11028.198242		
6490.8	10963.740234		
6491.6	10964.775391		
6492.4	11256.806641		
6493.2	11135.837891		
6494	11056.391602		
6494.8	11255.30957		
6495.6	11377.764648		
6496.4	11262.338867		
6497.2	11338.420898		
6498	11407.217773		
6498.8	11346.72168		
6499.6	11450.521484		
6500.4	11424.412109		
6501.2	11428.257812		
6502	11411.560547		
6502.8	11442.185547		
6503.6	11270.629883		
6504.4	11266.383789		
6505.2	11403.59668		
6506	11318.686523		
6506.8	11482.244141		
6507.6	11253.946289		
6508.4	11138.680664		
6509.2	11191.791992		
6510	11070.030273		
6510.8	11406.585938		
6511.6	11365.612305		
6512.4	11202.5		
6513.2	11116.970703		
6514	10951.476562		
6514.8	10890.503906		
6515.6	10964.176758		
6516.4	10743.947266		
6517.2	10325.157227		
6518	10582.945312		
6518.8	10901.961914		
6519.6	10953.662109		
6520.4	10952.529297		
6521.2	11148.817383		
6522	11080.555664		
6522.8	11107.173828		
6523.6	10882.461914		
6524.4	10923.583984		
6525.2	11061.887695		
6526	11279.351562		
6526.8	11122.433594		
6527.6	11149.71582		
6528.4	11262.799805		
6529.2	11215.272461		
6530	11188.188477		
6530.8	11073.314453		
6531.6	11071.794922		
6532.4	11004.427734		
6533.2	10972.572266		
6534	11027.079102		
6534.8	10938.242188		
6535.6	11064.391602		
6536.4	11247.710938		
6537.2	11081.451172		
6538	11059.870117		
6538.8	11195.125		
6539.6	11074.585938		
6540.4	10963.59082		
6541.2	10908.647461		
6542	10801.981445		
6542.8	10524.853516		
6543.6	10477.873047		
6544.4	10262.849609		
6545.2	10656.381836		
6546	10570.78125		
6546.8	10552.334961		
6547.6	10321.707031		
6548.4	10081.429688		
6549.2	10165.632812		
6550	10346.206055		
6550.8	10241.646484		
6551.6	10064.30957		
6552.4	9933.917969		
6553.2	9604.760742		
6554	9616.373047		
6554.8	9470.236328		
6555.6	9597.351562		
6556.4	10028.19043		
6557.2	9835.817383		
6558	10336.329102		
6558.8	10809.035156		
6559.6	11432.537109		
6560.4	11446.398438		
6561.2	10825.129883		
6562	9995.039062		
6562.8	10030.640625		
6563.6	9984.841797		
6564.4	10472.762695		
6565.2	11146.799805		
6566	11641.050781		
6566.8	11574.795898		
6567.6	10825.561523		
6568.4	10269.138672		
6569.2	9710.064453		
6570	9641.503906		
6570.8	9485.423828		
6571.6	9460.71875		
6572.4	9516.314453		
6573.2	9567.599609		
6574	9948.736328		
6574.8	9961.333008		
6575.6	10098.495117		
6576.4	10354.87207		
6577.2	10536.206055		
6578	10489.199219		
6578.8	10711.949219		
6579.6	10917.236328		
6580.4	10914.530273		
6581.2	11035.619141		
6582	10985.902344		
6582.8	11325.790039		
6583.6	11037.051758		
6584.4	11175.736328		
6585.2	11393.456055		
6586	11488.529297		
6586.8	11311.150391		
6587.6	11457.052734		
6588.4	11452.523438		
6589.2	11443.260742		
6590	11471.800781		
6590.8	11529.286133		
6591.6	11635.486328		
6592.4	11382.587891		
6593.2	11469.349609		
6594	11378.902344		
6594.8	11279.84375		
6595.6	11556.914062		
6596.4	11450.084961		
6597.2	11489.151367		
6598	11381.879883		
6598.8	11458.984375		
6599.6	11377.576172		
6600.4	11363.922852		
6601.2	11296.026367		
6602	11307.046875		
6602.8	11460.405273		
6603.6	11535.580078		
6604.4	11614.725586		
6605.2	11367.432617		
6606	11450.726562		
6606.8	11538.996094		
6607.6	11510.722656		
6608.4	11630.150391		
6609.2	11582.381836		
6610	11684.016602		
6610.8	11619.288086		
6611.6	11655.43457		
6612.4	11583.549805		
6613.2	11692.889648		
6614	11737.016602		
6614.8	11759.644531		
6615.6	11931.094727		
6616.4	11937.706055		
6617.2	11645.356445		
6618	11845.162109		
6618.8	11851.520508		
6619.6	11692.853516		
6620.4	11775.294922		
6621.2	11800.946289		
6622	11808.454102		
6622.8	11761.405273		
6623.6	11679.461914		
6624.4	11872.048828		
6625.2	11695.482422		
6626	11938.756836		
6626.8	11555.390625		
6627.6	11783.546875		
6628.4	11748.498047		
6629.2	11976.203125		
6630	11784.076172		
6630.8	11794.75293		
6631.6	11751.250977		
6632.4	11553.043945		
6633.2	11658.527344		
6634	11470.609375		
6634.8	12005.710938		
6635.6	11798.554688		
6636.4	11659.634766		
6637.2	11671.097656		
6638	11647.738281		
6638.8	11500.862305		
6639.6	11647.907227		
6640.4	11630.648438		
6641.2	11655.357422		
6642	11566.571289		
6642.8	11648.485352		
6643.6	11598.228516		
6644.4	11595.693359		
6645.2	11647.626953		
6646	11667.889648		
6646.8	11589.151367		
6647.6	11651.066406		
6648.4	11596.008789		
6649.2	11482.387695		
6650	11741.984375		
6650.8	11603.017578		
6651.6	11660.543945		
6652.4	11789.376953		
6653.2	11666.575195		
6654	11760.711914		
6654.8	11436.805664		
6655.6	11645.648438		
6656.4	11760.722656		
6657.2	11921.144531		
6658	11791.222656		
6658.8	11773.512695		
6659.6	11735.799805		
6660.4	11954.416992		
6661.2	12090.263672		
6662	11900.691406		
6662.8	12068.892578		
6663.6	12017.1875		
6664.4	11947.560547		
6665.2	12007.029297		
6666	11993.432617		
6666.8	11891.769531		
6667.6	12006.182617		
6668.4	12004.521484		
6669.2	12461.105469		
6670	12376.584961		
6670.8	12079.181641		
6671.6	11652.058594		
6672.4	11622.211914		
6673.2	11409.229492		
6674	11268.280273		
6674.8	11490.279297		
6675.6	11465.697266		
6676.4	11405.334961		
6677.2	11687.0625		
6678	11651.885742		
6678.8	11571.635742		
6679.6	11747.980469		
6680.4	11811.90918		
6681.2	11905.038086		
6682	12078.196289		
6682.8	12029.467773		
6683.6	11881.014648		
6684.4	11821.381836		
6685.2	11663.660156		
6686	11627.121094		
6686.8	11740.759766		
6687.6	11643.188477		
6688.4	11705.458008		
6689.2	11944.719727		
6690	12032.566406		
6690.8	11869.138672		
6691.6	11902.28125		
6692.4	12001.928711		
6693.2	12103.391602		
6694	11955.914062		
6694.8	12057.869141		
6695.6	11865.78418		
6696.4	11916.081055		
6697.2	11923.248047		
6698	11866.830078		
6698.8	11948.541016		
6699.6	12099.580078		
6700.4	11970.192383		
6701.2	11870.667969		
6702	11799.546875		
6702.8	11862.818359		
6703.6	11750.811523		
6704.4	11770.601562		
6705.2	11707.589844		
6706	11629.701172		
6706.8	11547.304688		
6707.6	11565.688477		
6708.4	11492.773438		
6709.2	11566.786133		
6710	11514.418945		
6710.8	11579.003906		
6711.6	11543.447266		
6712.4	11569.049805		
6713.2	11627.168945		
6714	11470.892578		
6714.8	11484.459961		
6715.6	11682.938477		
6716.4	11684.326172		
6717.2	11814.393555		
6718	11727.966797		
6718.8	11749.592773		
6719.6	11642.404297		
6720.4	11789.591797		
6721.2	11728.756836		
6722	11834.837891		
6722.8	11621.138672		
6723.6	11747.260742		
6724.4	11706.082031		
6725.2	11867.700195		
6726	11835.775391		
6726.8	12014.070312		
6727.6	11760.981445		
6728.4	11839.112305		
6729.2	11904.93457		
6730	11751.104492		
6730.8	11642.135742		
6731.6	11821.801758		
6732.4	11624.498047		
6733.2	11732.674805		
6734	11629.637695		
6734.8	11589.472656		
6735.6	11596.851562		
6736.4	11466.766602		
6737.2	11618.632812		
6738	11373.569336		
6738.8	11516.951172		
6739.6	11612.356445		
6740.4	11451.947266		
6741.2	11607.767578		
6742	11375.90332		
6742.8	11513.658203		
6743.6	11440.379883		
6744.4	11458.429688		
6745.2	11393.802734		
6746	11547.591797		
6746.8	11685.710938		
6747.6	11424.885742		
6748.4	11771.142578		
6749.2	11729.12207		
6750	11837.99707		
6750.8	11675.248047		
6751.6	11657.748047		
6752.4	11791.647461		
6753.2	11895.0625		
6754	11551.892578		
6754.8	11655.980469		
6755.6	11839.681641		
6756.4	11722.631836		
6757.2	11955.314453		
6758	11996.21875		
6758.8	11919.527344		
6759.6	11745.975586		
6760.4	12028.93457		
6761.2	11923.624023		
6762	11903.875		
6762.8	11949.119141		
6763.6	11941.942383		
6764.4	11922.25293		
6765.2	11895.794922		
6766	11868.529297		
6766.8	12085.557617		
6767.6	11701.330078		
6768.4	12031.605469		
6769.2	11734.553711		
6770	11941.958984		
6770.8	11910.899414		
6771.6	11642.042969		
6772.4	11663.408203		
6773.2	11468.303711		
6774	11524.621094		
6774.8	11655.849609		
6775.6	11644.086914		
6776.4	11697.839844		
6777.2	11707.474609		
6778	11788.765625		
6778.8	11722.899414		
6779.6	11928.246094		
6780.4	11843.474609		
6781.2	11683.649414		
6782	11598.112305		
6782.8	11472.985352		
6783.6	11482.74707		
6784.4	11260.581055		
6785.2	11267.114258		
6786	11193.344727		
6786.8	11201.089844		
6787.6	11136.588867		
6788.4	11431.509766		
6789.2	11276.381836		
6790	11176.105469		
6790.8	11146.019531		
6791.6	11089.335938		
6792.4	11350.194336		
6793.2	11524.914062		
6794	11594.558594		
6794.8	11979.168945		
6795.6	11734.84375		
6796.4	11772.725586		
6797.2	11705.082031		
6798	11602.355469		
6798.8	11349.016602		
6799.6	11139.869141		
6800.4	11046.696289		
6801.2	11156.833984		
6802	11074.602539		
6802.8	11151.086914		
6803.6	11247.024414		
6804.4	11312.24707		
6805.2	11552.583984		
6806	11612.705078		
6806.8	11490.523438		
6807.6	11683.730469		
6808.4	11582.248047		
6809.2	11490.869141		
6810	11515.494141		
6810.8	11540.202148		
6811.6	11774.824219		
6812.4	11651.733398		
6813.2	11635.630859		
6814	11285.883789		
6814.8	11299.822266		
6815.6	11551.166992		
6816.4	11400.022461		
6817.2	11463.203125		
6818	11594.208984		
6818.8	11604.458008		
6819.6	11553.205078		
6820.4	11573.15332		
6821.2	11440.351562		
6822	11520.048828		
6822.8	11562.59668		
6823.6	11507.9375		
6824.4	11530.134766		
6825.2	11748.94043		
6826	11456.039062		
6826.8	11477.379883		
6827.6	11427.779297		
6828.4	11584.654297		
6829.2	11539.744141		
6830	11386.352539		
6830.8	11400.946289		
6831.6	11432.414062		
6832.4	11326.044922		
6833.2	11217.217773		
6834	11206.44043		
6834.8	11324.868164		
6835.6	11500.774414		
6836.4	11410.993164		
6837.2	11382.294922		
6838	11457.361328		
6838.8	11427.855469		
6839.6	11606.84375		
6840.4	11409.233398		
6841.2	11465.319336		
6842	11440.712891		
6842.8	11398.708008		
6843.6	11341.582031		
6844.4	11461.051758		
6845.2	11392.311523		
6846	11130.077148		
6846.8	11105.541992		
6847.6	11238.510742		
6848.4	11049.304688		
6849.2	11232.625		
6850	10851.8125		
6850.8	10806.510742		
6851.6	10878.373047		
6852.4	10652.740234		
6853.2	10600.358398		
6854	10747.712891		
6854.8	10687.072266		
6855.6	10682.686523		
6856.4	10717.665039		
6857.2	10697.418945		
6858	10691.978516		
6858.8	10849.275391		
6859.6	10714.805664		
6860.4	10673.219727		
6861.2	10826.097656		
6862	10839.671875		
6862.8	10687.808594		
6863.6	10628.927734		
6864.4	10642.708008		
6865.2	10620.290039		
6866	10594.492188		
6866.8	10038.932617		
6867.6	8237.161133		
6868.4	6722.158691		
6869.2	7016.860352		
6870	7761.746094		
6870.8	8039.879883		
6871.6	8151.442383		
6872.4	8495.199219		
6873.2	8484.414062		
6874	8829.640625		
6874.8	8877.261719		
6875.6	8986.389648		
6876.4	9285.986328		
6877.2	9283.791992		
6878	9653.907227		
6878.8	10000.285156		
6879.6	9722.101562		
6880.4	10242.040039		
6881.2	10677.02832		
6882	11007.34082		
6882.8	10813.505859		
6883.6	10149.875977		
6884.4	10052.791992		
6885.2	10249.881836		
6886	9610.699219		
6886.8	9317.383789		
6887.6	10032.820312		
6888.4	10268.737305		
6889.2	9531.664062		
6890	9327.852539		
6890.8	10328.875		
6891.6	10799.131836		
6892.4	9805.503906		
6893.2	9273.938477		
6894	10211.84668		
6894.8	10865.037109		
6895.6	10249.845703		
6896.4	9333.874023		
6897.2	9590.089844		
6898	10562.214844		
6898.8	10879.587891		
6899.6	10301.5625		
6900.4	9361.837891		
6901.2	9569.676758		
6902	10466.637695		
6902.8	10907.564453		
6903.6	10261.479492		
6904.4	9513.519531		
6905.2	9363.201172		
6906	10407.076172		
6906.8	10846.84082		
6907.6	10688.345703		
6908.4	10180.803711		
6909.2	9706.602539		
6910	9932.764648		
6910.8	10585.367188		
6911.6	10844.512695		
6912.4	10524.918945		
6913.2	9925.716797		
6914	9621.642578		
6914.8	10004.930664		
6915.6	10589.839844		
6916.4	10554.584961		
6917.2	10472.302734		
6918	9987.513672		
6918.8	9687.349609		
6919.6	10075.933594		
6920.4	10219.27832		
6921.2	10165.782227		
6922	10454.154297		
6922.8	10150.943359		
6923.6	9601.972656		
6924.4	9651.837891		
6925.2	10104.277344		
6926	10450.833008		
6926.8	10229.160156		
6927.6	10183.835938		
6928.4	10150.135742		
6929.2	9440.449219		
6930	9447.006836		
6930.8	9901.832031		
6931.6	10049.451172		
6932.4	10194.285156		
6933.2	10258.397461		
6934	9883.90625		
6934.8	10252.727539		
6935.6	10687.026367		
6936.4	10763.735352		
6937.2	10639.009766		
6938	10373.233398		
6938.8	10563.206055		
6939.6	10129.993164		
6940.4	9670.126953		
6941.2	9694.645508		
6942	9784.114258		
6942.8	9679.389648		
6943.6	9745.116211		
6944.4	9780.576172		
6945.2	10102.101562		
6946	10229.799805		
6946.8	9918.625		
6947.6	9437.776367		
6948.4	9689.382812		
6949.2	9961.713867		
6950	10196.672852		
6950.8	10457.023438		
6951.6	10481.65332		
6952.4	10736.588867		
6953.2	10579.610352		
6954	10394.589844		
6954.8	10621.014648		
6955.6	10385.027344		
6956.4	9597.046875		
6957.2	9923.148438		
6958	10745.955078		
6958.8	10741.25293		
6959.6	10347.515625		
6960.4	10357.280273		
6961.2	10390.917969		
6962	10770.69043		
6962.8	11027.763672		
6963.6	11111.433594		
6964.4	10717.331055		
6965.2	10928.251953		
6966	11161.044922		
6966.8	11093.875977		
6967.6	11165.720703		
6968.4	11002.013672		
6969.2	11138.761719		
6970	11012.005859		
6970.8	10743.820312		
6971.6	10738.008789		
6972.4	10904.712891		
6973.2	10886.921875		
6974	10950.5		
6974.8	10962.244141		
6975.6	10929.049805		
6976.4	10849.954102		
6977.2	10521.74707		
6978	10576.083008		
6978.8	10584.490234		
6979.6	10498.49707		
6980.4	10503.014648		
6981.2	10609.612305		
6982	10388.336914		
6982.8	10574.628906		
6983.6	10765.40918		
6984.4	10922.25		
6985.2	10827.304688		
6986	10535.833008		
6986.8	10226.541992		
6987.6	10570.397461		
6988.4	10463.009766		
6989.2	10273.071289		
6990	10488.323242		
6990.8	10569.182617		
6991.6	10764.444336		
6992.4	10608.500977		
6993.2	10247.229492		
6994	9958.713867		
6994.8	10047.625977		
6995.6	10135.728516		
6996.4	10183.77832		
6997.2	10101.005859		
6998	9869.724609		
6998.8	9463.390625		
6999.6	9843.912109		
7000.4	10430.183594		
7001.2	10802.427734		
7002	10920.841797		
7002.8	10932.318359		
7003.6	10899.569336		
7004.4	10026.576172		
7005.2	9437.912109		
7006	9642.1875		
7006.8	9861.211914		
7007.6	9985.009766		
7008.4	10042.84375		
7009.2	10022.313477		
7010	9836.698242		
7010.8	9910.037109		
7011.6	9928.726562		
7012.4	10452.942383		
7013.2	10740.552734		
7014	10809.711914		
7014.8	10842.176758		
7015.6	10486.174805		
7016.4	10045.759766		
7017.2	10263.193359		
7018	10826.233398		
7018.8	10772.481445		
7019.6	10520.570312		
7020.4	10525.767578		
7021.2	10405.381836		
7022	10598.665039		
7022.8	10228.520508		
7023.6	9764.875977		
7024.4	10008.109375		
7025.2	10282.723633		
7026	10110.835938		
7026.8	9649.696289		
7027.6	9370.851562		
7028.4	9608.862305		
7029.2	9829.665039		
7030	9925.939453		
7030.8	10005.807617		
7031.6	9922.366211		
7032.4	9896.03125		
7033.2	10005.066406		
7034	10020.499023		
7034.8	9901.204102		
7035.6	9984.005859		
7036.4	9996.400391		
7037.2	9594.929688		
7038	9513.520508		
7038.8	9694.272461		
7039.6	9564.136719		
7040.4	9496.09375		
7041.2	9875.6875		
7042	9954.774414		
7042.8	9996.208984		
7043.6	9986.249023		
7044.4	10047.057617		
7045.2	10237.084961		
7046	10081.798828		
7046.8	10016.790039		
7047.6	9969.353516		
7048.4	9914.379883		
7049.2	9983.566406		
7050	9974.779297		
7050.8	9856.042969		
7051.6	9761.580078		
7052.4	9801.019531		
7053.2	9718.202148		
7054	9924.577148		
7054.8	10135.473633		
7055.6	10227.668945		
7056.4	10311.477539		
7057.2	10116.880859		
7058	10410.422852		
7058.8	10276.213867		
7059.6	10204.606445		
7060.4	10194.538086		
7061.2	10068.504883		
7062	10110.989258		
7062.8	10295.179688		
7063.6	10128.972656		
7064.4	10078.65332		
7065.2	9872.226562		
7066	10056.380859		
7066.8	9967.712891		
7067.6	10145.837891		
7068.4	9961.958008		
7069.2	10240.368164		
7070	10194.952148		
7070.8	10210.001953		
7071.6	9915.398438		
7072.4	9894.485352		
7073.2	10023.621094		
7074	9796.881836		
7074.8	9777.03125		
7075.6	9863.006836		
7076.4	10011.774414		
7077.2	9944.882812		
7078	9750.123047		
7078.8	9644.589844		
7079.6	9681.842773		
7080.4	10027.662109		
7081.2	10066.230469		
7082	10001.518555		
7082.8	9983.892578		
7083.6	10043.178711		
7084.4	10123.079102		
7085.2	10171.933594		
7086	10135.551758		
7086.8	10096.979492		
7087.6	10271.038086		
7088.4	10196.927734		
7089.2	10499.699219		
7090	10444.892578		
7090.8	10508.817383		
7091.6	10563.96582		
7092.4	10516.517578		
7093.2	10532.753906		
7094	10269.954102		
7094.8	10232.001953		
7095.6	10310.803711		
7096.4	10303.172852		
7097.2	10272.017578		
7098	10097.246094		
7098.8	10041.885742		
7099.6	9876.725586		
7100.4	9758.826172		
7101.2	9697.966797		
7102	9786.145508		
7102.8	9594.185547		
7103.6	9761.860352		
7104.4	9679.874023		
7105.2	9687.480469		
7106	9605.268555		
7106.8	9468.833984		
7107.6	9567.651367		
7108.4	9602.139648		
7109.2	9639.136719		
7110	9613.151367		
7110.8	9631.699219		
7111.6	9616.125		
7112.4	9578.40918		
7113.2	9652.814453		
7114	9661.094727		
7114.8	9411.874023		
7115.6	9496.964844		
7116.4	9433.763672		
7117.2	9446.806641		
7118	9349.129883		
7118.8	9296.487305		
7119.6	9264.042969		
7120.4	9399.282227		
7121.2	9236.171875		
7122	9409.347656		
7122.8	9405.192383		
7123.6	9475.429688		
7124.4	9385.314453		
7125.2	9445.963867		
7126	9535.068359		
7126.8	9542.830078		
7127.6	9490.131836		
7128.4	9510.976562		
7129.2	9606.5		
7130	9670.9375		
7130.8	9622.782227		
7131.6	9744.56543		
7132.4	9692.785156		
7133.2	9705.642578		
7134	9846.517578		
7134.8	9984.475586		
7135.6	9991.015625		
7136.4	10030.004883		
7137.2	9905.56543		
7138	9865.666992		
7138.8	9932.853516		
7139.6	10069.521484		
7140.4	10085.856445		
7141.2	9944.174805		
7142	9780.931641		
7142.8	9945.925781		
7143.6	9770.826172		
7144.4	9960.620117		
7145.2	9912.243164		
7146	9783.913086		
7146.8	9729.0625		
7147.6	9614.776367		
7148.4	9698.936523		
